ID,取引価格（総額）_log
1000077,7.685270578701834
1000081,7.699934992226707
1000128,7.1201255374478505
1000129,6.602128633029163
1000130,7.660300581743987
1000131,7.131035786896538
1000132,6.481266558607068
1000133,7.179931880322455
1000134,7.186614423359653
1000408,7.391376420753116
1000411,7.290505751310915
1000413,7.7091023496817055
1000415,6.573113947381965
1000417,6.7751350934006425
1000419,7.704524935175309
1000420,7.061726597359277
1000582,7.45433056989945
1000584,7.530291612170271
1000747,6.671673016236954
1000750,6.852791856058365
1000753,7.612362920860681
1000794,7.1241227284622255
1000796,6.937458117679897
1000798,6.92262265653946
1000800,7.246166330729726
1000957,7.591345659615004
1000961,7.812076783263352
1001262,6.5693158561787826
1001342,7.358590113119154
1001345,7.450650936834367
1001449,7.307227722129101
1001452,7.4675769138339465
1001501,7.624506047616745
1001503,7.636876930738495
1001564,7.466478821748906
1001810,7.56464971206794
1001812,6.740672420427254
1001868,7.858374071783581
1001873,7.383951015064497
1001877,7.515073174991395
1001880,7.656272266661671
1001882,7.4776277268205265
1001885,7.570318300342683
1001888,7.534403650432243
1001891,7.672495956925464
1001893,7.613443656206897
1001894,7.570318300342683
1001895,7.6571714553015084
1001896,7.5922430732840755
1001898,7.672495956925464
1001900,7.4776277268205265
1001902,7.6986052928707
1001906,7.672495956925464
1001910,7.649669818085658
1001914,7.570318300342683
1001918,7.672495956925464
1001921,7.649669818085658
1001923,7.549257638749367
1001924,7.570318300342683
1001925,7.4930792408455655
1001927,7.513390678219837
1001929,7.6571714553015084
1001930,7.672495956925464
1001931,7.613443656206897
1002195,7.541330037531871
1002443,7.585783723240344
1002509,7.017006906123299
1002577,7.564315268122902
1002647,7.612418772304511
1002651,7.847981837665354
1002655,7.523066530911407
1002845,6.912204195077955
1002917,6.936510326002393
1002931,6.498095333657554
1002940,7.24360774156157
1002944,7.149583111871881
1002948,6.856675512087422
1002950,7.094696937029925
1003619,7.606878975349685
1003621,7.556174121925804
1003729,7.386526330944773
1003758,7.620848990085595
1003932,7.565351509301666
1003935,7.58324295271426
1004407,7.888719126987032
1004547,7.499049817099639
1004599,7.647803269157626
1004747,7.497902150472603
1004887,7.223471941555883
1004890,7.607949310173241
1004893,7.550685352222368
1004967,6.635184752651237
1005034,7.658845185986465
1005037,6.912044044963226
1005046,7.700112356964439
1005143,7.6281046881734085
1005145,7.535459243705157
1005147,7.571835051409495
1005150,7.2381786913632435
1005332,6.993071111789592
1005334,7.21908055542877
1005390,6.642117568693083
1005394,6.882829302592034
1005572,7.43054356428963
1005573,7.421107947657343
1005621,7.536950600748438
1005654,6.302454037424221
1005658,6.33192711919689
1005742,7.506882820939486
1005792,7.5106306416158
1005795,7.352665623471826
1005897,7.467209287838425
1006018,7.607521421140215
1006136,6.822743006628703
1006140,6.85418975755398
1006143,6.254774178725066
1006323,7.3890963231969184
1006494,7.359770921201006
1006504,7.296320454936245
1006763,7.556942902003895
1006870,7.1653502763265795
1006875,7.019050495974405
1006876,6.997436261144285
1006877,6.414316913465775
1006879,7.019770905424548
1006965,6.801318596592341
1006966,7.09800349639916
1007044,6.762570371519376
1007133,7.216871433031659
1007139,7.22955554128937
1007448,6.8783691562032825
1007483,7.134786195525402
1007668,7.334324096602709
1007673,7.222772367320422
1007829,6.2724617863228005
1007979,7.495470186035694
1008100,7.586008162089849
1008102,7.266576211653761
1008176,6.918938272549963
1008178,7.392292542677626
1008180,7.00060437232913
1008183,7.5410978709348555
1008186,7.0326217420686685
1008312,6.925462354949708
1008355,7.5750339145434555
1008524,7.455984797398945
1008572,7.232849090167915
1008689,7.4116956729150925
1008694,7.248975286896614
1008699,7.230626347567951
1008903,7.493272778081803
1008906,6.561036652011017
1008910,7.138353377318721
1008952,7.393421764185075
1008954,6.86608019487616
1008956,7.435401064824558
1009151,6.928502045532366
1009243,7.597570375208349
1009486,6.8193323932476275
1009648,7.5859922153394965
1009650,7.3932518382092045
1009653,7.413736983010253
1009657,7.562771243194064
1009873,7.309605477432785
1009876,7.186587043763723
1009989,7.426087636545669
1010164,7.483730630488749
1010184,7.566330705930075
1010185,7.0213767360987855
1010240,7.440251419056041
1010352,7.347052828566305
1010445,6.6927277891136425
1010622,7.163607938350687
1010735,6.786537548206904
1010741,7.370541809780552
1010744,6.61610131571595
1010797,7.198925454917402
1010801,7.081925229290041
1010976,7.220556713735701
